project_id,ScenarioID,Region,implementation_period,avg_annual_land_building,land_building_year50,n_years_land_building_positive,BaseID,ProjectName,TypeCode,display_id,HSI_SPSTA,HSI_OYSTE,cost_total_min,cost_total_max,freshmarsh_benefit,project_freshmarsh_area_m2,fwoa_freshmarsh_area_m2,n_freshmarsh_years
3390000,8,Terrebonne,1,50757338.942307696,10557526500.0,173,3390000,West Terrebonne Marsh Creation,MC,339,-0.0003822451488598765,0.0,2178135216.1536775,2178135216.1536775,,82903500.0,,1
3360000,8,Terrebonne,1,172194.23076923078,8954100.0,28,3360000,Greater Terrebonne Bay Rim Ridge Restoration with Marsh Creation,IP,336,0.0014125899626658512,0.012667041558485765,493720635.3476808,493720635.3476808,,2751300.0,,1
2490000,8,Pontchartrain,1,14950172.596153846,3109635900.0,193,2490000,Fritchie North Marsh Creation,MC,249,-0.027314612391399363,-0.07131998834317316,162180654.04718193,162180654.04718193,,13606200.0,,1
2440000,8,Barataria,1,14963451.923076924,778099500.0,23,2440000,Union Freshwater Diversion,DI,244,-0.03719535011511583,-0.00478884785507734,1516071056.0792246,1516071056.0792246,,,,
3090000,8,Pontchartrain,1,11319161.538461538,588596400.0,52,3090000,Western Biloxi Marsh Complex,IP,309,-0.03499983996152878,-0.07932161539793015,690701581.8351352,690701581.8351352,,34437600.0,,1
2880000,7,Central Coast,2,30944700.0,1021175100.0,32,2880000,Vermilion Bay Marsh Creation,MC,288,,,,,,19689300.0,,1
1300000,7,Terrebonne,1,20051610.576923076,4170735000.0,196,1300000,Mauvais Bois Ridge Restoration,RR,130,0.0002533553178882462,0.0,15255104.769294918,15255104.769294918,,,,
2310000,8,Central Coast,1,21183014.423076924,2203033500.0,83,2310000,Cheniere au Tigre Ridge Restoration,RR,231,0.0031846525037989896,-0.0000736990145274571,34015647.507303074,34015647.507303074,,,,
3000200,8,Chenier Plain,1,22201325.480769232,4617875700.0,159,3000200,West Sabine Refuge Marsh Creation - Central,MC,300c,-0.001263958586137847,-0.0008976066495940002,171375575.06320792,171375575.06320792,,41657400.0,,1
2540000,7,Pontchartrain,1,1904919.2307692308,99055800.0,50,2540000,Guste Island Marsh Creation,MC,254,-0.07183676213026047,-0.07812957869221766,90237621.7115728,90237621.7115728,,2781900.0,,1
